name,wins,ties,losses,winDiff,alpha,discount,eps
policy1,37052,3762,59186,-22134,0.9,0.9,0.1
policy2,36986,3643,59371,-22385,0.8,0.9,0.1
policy3,37063,3748,59189,-22126,0.7,0.9,0.1
policy4,36843,3752,59405,-22562,0.6,0.9,0.1
policy5,37025,3776,59199,-22174,0.5,0.9,0.1
policy6,37042,3659,59299,-22257,0.4,0.9,0.1
policy7,37062,3725,59213,-22151,0.3,0.9,0.1
policy8,37070,3668,59262,-22192,0.2,0.9,0.1
policy9,37065,3745,59190,-22125,0.1,0.9,0.1
policy11,37305,3737,58958,-21653,0.1,0.8,0.1
policy12,37013,3769,59218,-22205,0.1,0.7,0.1
policy12,36775,3798,59427,-22652,0.1,0.6,0.1
policy13,37085,3751,59164,-22079,0.1,0.5,0.1
policy14,36853,3689,59458,-22605,0.1,0.4,0.1
policy15,37115,3709,59176,-22061,0.1,0.3,0.1
policy16,37169,3708,59123,-21954,0.1,0.2,0.1
policy17,37016,3758,59226,-22210,0.1,0.1,0.1
policy18,36884,3812,59304,-22420,0.1,0.9,0.05
policy19,36948,3729,59323,-22375,0.1,0.9,0.2
policy19,36962,3813,59225,-22263,0.1,0.9,0.3
