i,winDiff,avg
0,0,0
1,-1,-1.0
2,-2,-1.0
3,-3,-1.0
4,-4,-1.0
5,-3,-0.6
6,-2,-0.3333333333333333
7,-1,-0.14285714285714285
8,-2,-0.25
9,-1,-0.1111111111111111
10,-1,-0.1
11,-2,-0.18181818181818182
12,-3,-0.25
13,-2,-0.15384615384615385
14,-2,-0.14285714285714285
15,-1,-0.06666666666666667
16,0,0.0
17,1,0.058823529411764705
18,2,0.1111111111111111
19,1,0.05263157894736842
20,0,0.0
21,-1,-0.047619047619047616
22,0,0.0
23,1,0.043478260869565216
24,2,0.08333333333333333
25,3,0.12
26,3,0.11538461538461539
27,2,0.07407407407407407
28,2,0.07142857142857142
29,3,0.10344827586206896
30,4,0.13333333333333333
31,3,0.0967741935483871
32,2,0.0625
33,1,0.030303030303030304
34,0,0.0
35,-1,-0.02857142857142857
36,0,0.0
37,-1,-0.02702702702702703
38,0,0.0
39,-1,-0.02564102564102564
40,-2,-0.05
41,-2,-0.04878048780487805
42,-1,-0.023809523809523808
43,0,0.0
44,1,0.022727272727272728
45,2,0.044444444444444446
46,3,0.06521739130434782
47,2,0.0425531914893617
48,3,0.0625
49,4,0.08163265306122448
50,5,0.1
51,6,0.11764705882352941
52,6,0.11538461538461539
53,5,0.09433962264150944
54,4,0.07407407407407407
55,3,0.05454545454545454
56,4,0.07142857142857142
57,3,0.05263157894736842
58,4,0.06896551724137931
59,5,0.0847457627118644
60,5,0.08333333333333333
61,6,0.09836065573770492
62,7,0.11290322580645161
63,6,0.09523809523809523
64,5,0.078125
65,4,0.06153846153846154
66,3,0.045454545454545456
67,3,0.04477611940298507
68,2,0.029411764705882353
69,3,0.043478260869565216
70,2,0.02857142857142857
71,3,0.04225352112676056
72,2,0.027777777777777776
73,3,0.0410958904109589
74,4,0.05405405405405406
75,5,0.06666666666666667
76,4,0.05263157894736842
77,5,0.06493506493506493
78,4,0.05128205128205128
79,3,0.0379746835443038
80,4,0.05
81,4,0.04938271604938271
82,3,0.036585365853658534
83,2,0.024096385542168676
84,2,0.023809523809523808
85,3,0.03529411764705882
86,2,0.023255813953488372
87,1,0.011494252873563218
88,0,0.0
89,1,0.011235955056179775
90,0,0.0
91,-1,-0.01098901098901099
92,0,0.0
93,1,0.010752688172043012
94,0,0.0
95,1,0.010526315789473684
96,0,0.0
97,0,0.0
98,-1,-0.01020408163265306
99,0,0.0
100,-1,-0.01
101,-2,-0.019801980198019802
102,-3,-0.029411764705882353
103,-4,-0.038834951456310676
104,-3,-0.028846153846153848
105,-2,-0.01904761904761905
106,-1,-0.009433962264150943
107,-2,-0.018691588785046728
108,-2,-0.018518518518518517
109,-3,-0.027522935779816515
110,-4,-0.03636363636363636
111,-3,-0.02702702702702703
112,-2,-0.017857142857142856
113,-1,-0.008849557522123894
114,-2,-0.017543859649122806
115,-1,-0.008695652173913044
116,0,0.0
117,-1,-0.008547008547008548
118,0,0.0
119,1,0.008403361344537815
120,0,0.0
121,-1,-0.008264462809917356
122,-1,-0.00819672131147541
123,-2,-0.016260162601626018
124,-1,-0.008064516129032258
125,-2,-0.016
126,-3,-0.023809523809523808
127,-2,-0.015748031496062992
128,-1,-0.0078125
129,-2,-0.015503875968992248
130,-3,-0.023076923076923078
131,-2,-0.015267175572519083
132,-2,-0.015151515151515152
133,-1,-0.007518796992481203
134,-2,-0.014925373134328358
135,-1,-0.007407407407407408
136,-2,-0.014705882352941176
137,-3,-0.021897810218978103
138,-2,-0.014492753623188406
139,-3,-0.02158273381294964
140,-2,-0.014285714285714285
141,-3,-0.02127659574468085
142,-2,-0.014084507042253521
143,-3,-0.02097902097902098
144,-4,-0.027777777777777776
145,-3,-0.020689655172413793
146,-2,-0.0136986301369863
147,-1,-0.006802721088435374
148,-1,-0.006756756756756757
149,-2,-0.013422818791946308
150,-3,-0.02
151,-2,-0.013245033112582781
152,-3,-0.019736842105263157
153,-4,-0.026143790849673203
154,-3,-0.01948051948051948
155,-3,-0.01935483870967742
156,-4,-0.02564102564102564
157,-3,-0.01910828025477707
158,-3,-0.0189873417721519
159,-4,-0.025157232704402517
160,-5,-0.03125
161,-5,-0.031055900621118012
162,-6,-0.037037037037037035
163,-5,-0.03067484662576687
164,-4,-0.024390243902439025
165,-3,-0.01818181818181818
166,-2,-0.012048192771084338
167,-2,-0.011976047904191617
168,-1,-0.005952380952380952
169,-2,-0.011834319526627219
170,-1,-0.0058823529411764705
171,-2,-0.011695906432748537
172,-3,-0.01744186046511628
173,-3,-0.017341040462427744
174,-2,-0.011494252873563218
175,-1,-0.005714285714285714
176,0,0.0
177,1,0.005649717514124294
178,0,0.0
179,-1,-0.00558659217877095
180,0,0.0
181,-1,-0.0055248618784530384
182,0,0.0
183,1,0.00546448087431694
184,2,0.010869565217391304
185,3,0.016216216216216217
186,2,0.010752688172043012
187,1,0.0053475935828877
188,2,0.010638297872340425
189,1,0.005291005291005291
190,0,0.0
191,1,0.005235602094240838
192,0,0.0
193,1,0.0051813471502590676
194,2,0.010309278350515464
195,1,0.005128205128205128
196,2,0.01020408163265306
197,3,0.015228426395939087
198,4,0.020202020202020204
199,5,0.02512562814070352
200,4,0.02
201,3,0.014925373134328358
202,2,0.009900990099009901
203,1,0.0049261083743842365
204,1,0.004901960784313725
205,0,0.0
206,1,0.0048543689320388345
207,0,0.0
208,-1,-0.004807692307692308
209,0,0.0
210,1,0.004761904761904762
211,0,0.0
212,1,0.0047169811320754715
213,2,0.009389671361502348
214,3,0.014018691588785047
215,4,0.018604651162790697
216,3,0.013888888888888888
217,4,0.018433179723502304
218,3,0.013761467889908258
219,4,0.0182648401826484
220,3,0.013636363636363636
221,4,0.01809954751131222
222,3,0.013513513513513514
223,2,0.008968609865470852
224,3,0.013392857142857142
225,4,0.017777777777777778
226,3,0.01327433628318584
227,4,0.01762114537444934
228,3,0.013157894736842105
229,2,0.008733624454148471
230,1,0.004347826086956522
231,2,0.008658008658008658
232,1,0.004310344827586207
233,0,0.0
234,-1,-0.004273504273504274
235,-2,-0.00851063829787234
236,-1,-0.00423728813559322
237,0,0.0
238,-1,-0.004201680672268907
239,-2,-0.008368200836820083
240,-2,-0.008333333333333333
241,-1,-0.004149377593360996
242,0,0.0
243,1,0.00411522633744856
244,2,0.00819672131147541
245,3,0.012244897959183673
246,2,0.008130081300813009
247,1,0.004048582995951417
248,0,0.0
249,1,0.004016064257028112
250,0,0.0
251,1,0.00398406374501992
252,0,0.0
253,-1,-0.003952569169960474
254,0,0.0
255,-1,-0.00392156862745098
256,0,0.0
257,1,0.0038910505836575876
258,0,0.0
259,1,0.003861003861003861
260,0,0.0
261,0,0.0
262,0,0.0
263,1,0.0038022813688212928
264,0,0.0
265,1,0.0037735849056603774
266,0,0.0
267,-1,-0.003745318352059925
268,-2,-0.007462686567164179
269,-1,-0.0037174721189591076
270,-1,-0.003703703703703704
271,0,0.0
272,-1,-0.003676470588235294
273,-2,-0.007326007326007326
274,-3,-0.010948905109489052
275,-2,-0.007272727272727273
276,-3,-0.010869565217391304
277,-2,-0.007220216606498195
278,-1,-0.0035971223021582736
279,0,0.0
280,1,0.0035714285714285713
281,2,0.0071174377224199285
282,1,0.0035460992907801418
283,0,0.0
284,-1,-0.0035211267605633804
285,0,0.0
286,1,0.0034965034965034965
287,0,0.0
288,-1,-0.003472222222222222
289,-2,-0.006920415224913495
290,-3,-0.010344827586206896
291,-2,-0.006872852233676976
292,-1,-0.003424657534246575
293,-2,-0.006825938566552901
294,-1,-0.003401360544217687
295,-2,-0.006779661016949152
296,-3,-0.010135135135135136
297,-2,-0.006734006734006734
298,-1,-0.003355704697986577
299,-2,-0.006688963210702341
300,-1,-0.0033333333333333335
301,-2,-0.006644518272425249
302,-3,-0.009933774834437087
303,-3,-0.009900990099009901
304,-4,-0.013157894736842105
305,-5,-0.01639344262295082
306,-4,-0.013071895424836602
307,-5,-0.016286644951140065
308,-6,-0.01948051948051948
309,-7,-0.022653721682847898
310,-6,-0.01935483870967742
