i,winDiff,avg
0,0,0
1,1,1.0
2,0,0.0
3,-1,-0.3333333333333333
4,-2,-0.5
5,-3,-0.6
6,-4,-0.6666666666666666
7,-5,-0.7142857142857143
8,-6,-0.75
9,-6,-0.6666666666666666
10,-5,-0.5
11,-6,-0.5454545454545454
12,-7,-0.5833333333333334
13,-8,-0.6153846153846154
14,-9,-0.6428571428571429
15,-10,-0.6666666666666666
16,-10,-0.625
17,-11,-0.6470588235294118
18,-10,-0.5555555555555556
19,-9,-0.47368421052631576
20,-10,-0.5
21,-11,-0.5238095238095238
22,-12,-0.5454545454545454
23,-11,-0.4782608695652174
24,-10,-0.4166666666666667
25,-9,-0.36
26,-8,-0.3076923076923077
27,-9,-0.3333333333333333
28,-10,-0.35714285714285715
29,-9,-0.3103448275862069
30,-10,-0.3333333333333333
31,-11,-0.3548387096774194
32,-12,-0.375
33,-11,-0.3333333333333333
34,-12,-0.35294117647058826
35,-13,-0.37142857142857144
36,-14,-0.3888888888888889
37,-15,-0.40540540540540543
38,-14,-0.3684210526315789
39,-15,-0.38461538461538464
40,-16,-0.4
41,-17,-0.4146341463414634
42,-16,-0.38095238095238093
43,-17,-0.3953488372093023
44,-18,-0.4090909090909091
45,-19,-0.4222222222222222
46,-20,-0.43478260869565216
47,-21,-0.44680851063829785
48,-22,-0.4583333333333333
49,-23,-0.46938775510204084
50,-24,-0.48
51,-25,-0.49019607843137253
52,-26,-0.5
53,-25,-0.4716981132075472
54,-25,-0.46296296296296297
55,-26,-0.4727272727272727
56,-25,-0.44642857142857145
57,-24,-0.42105263157894735
58,-25,-0.43103448275862066
59,-26,-0.4406779661016949
60,-25,-0.4166666666666667
61,-26,-0.4262295081967213
62,-25,-0.4032258064516129
63,-26,-0.4126984126984127
64,-25,-0.390625
65,-26,-0.4
66,-25,-0.3787878787878788
67,-24,-0.3582089552238806
68,-25,-0.36764705882352944
69,-26,-0.37681159420289856
70,-27,-0.38571428571428573
71,-28,-0.39436619718309857
72,-29,-0.4027777777777778
73,-30,-0.410958904109589
74,-31,-0.4189189189189189
75,-32,-0.4266666666666667
76,-33,-0.4342105263157895
77,-32,-0.4155844155844156
78,-33,-0.4230769230769231
79,-34,-0.43037974683544306
80,-33,-0.4125
81,-33,-0.4074074074074074
82,-33,-0.4024390243902439
83,-32,-0.3855421686746988
84,-33,-0.39285714285714285
85,-34,-0.4
86,-35,-0.4069767441860465
87,-36,-0.41379310344827586
88,-37,-0.42045454545454547
89,-36,-0.4044943820224719
90,-37,-0.4111111111111111
91,-36,-0.3956043956043956
92,-37,-0.40217391304347827
93,-37,-0.3978494623655914
94,-38,-0.40425531914893614
95,-39,-0.4105263157894737
96,-38,-0.3958333333333333
97,-39,-0.4020618556701031
98,-40,-0.40816326530612246
99,-39,-0.3939393939393939
100,-38,-0.38
101,-39,-0.38613861386138615
102,-40,-0.39215686274509803
103,-41,-0.39805825242718446
104,-42,-0.40384615384615385
105,-43,-0.4095238095238095
106,-44,-0.41509433962264153
107,-45,-0.4205607476635514
108,-44,-0.4074074074074074
109,-45,-0.41284403669724773
110,-46,-0.41818181818181815
111,-47,-0.42342342342342343
112,-46,-0.4107142857142857
113,-45,-0.39823008849557523
114,-46,-0.40350877192982454
115,-47,-0.40869565217391307
116,-48,-0.41379310344827586
117,-49,-0.4188034188034188
118,-50,-0.423728813559322
119,-51,-0.42857142857142855
120,-52,-0.43333333333333335
121,-53,-0.4380165289256198
122,-54,-0.4426229508196721
123,-55,-0.44715447154471544
124,-56,-0.45161290322580644
125,-57,-0.456
126,-58,-0.4603174603174603
127,-59,-0.4645669291338583
128,-60,-0.46875
129,-61,-0.4728682170542636
130,-60,-0.46153846153846156
131,-61,-0.46564885496183206
132,-62,-0.4696969696969697
133,-61,-0.45864661654135336
134,-62,-0.4626865671641791
135,-61,-0.45185185185185184
136,-62,-0.45588235294117646
137,-62,-0.45255474452554745
138,-63,-0.45652173913043476
139,-62,-0.4460431654676259
140,-63,-0.45
141,-62,-0.4397163120567376
142,-61,-0.4295774647887324
143,-60,-0.4195804195804196
144,-61,-0.4236111111111111
145,-60,-0.41379310344827586
146,-61,-0.4178082191780822
147,-62,-0.4217687074829932
148,-61,-0.41216216216216217
149,-62,-0.4161073825503356
150,-61,-0.4066666666666667
151,-62,-0.4105960264900662
152,-63,-0.4144736842105263
153,-64,-0.41830065359477125
154,-63,-0.4090909090909091
155,-64,-0.4129032258064516
156,-65,-0.4166666666666667
157,-66,-0.42038216560509556
158,-67,-0.4240506329113924
159,-68,-0.4276729559748428
160,-67,-0.41875
161,-66,-0.40993788819875776
162,-65,-0.4012345679012346
163,-66,-0.4049079754601227
164,-65,-0.39634146341463417
165,-64,-0.3878787878787879
166,-65,-0.39156626506024095
167,-66,-0.39520958083832336
168,-67,-0.39880952380952384
169,-66,-0.3905325443786982
170,-65,-0.38235294117647056
171,-64,-0.3742690058479532
172,-65,-0.37790697674418605
173,-66,-0.3815028901734104
174,-67,-0.3850574712643678
175,-68,-0.38857142857142857
176,-67,-0.3806818181818182
177,-68,-0.384180790960452
178,-69,-0.38764044943820225
179,-69,-0.3854748603351955
180,-70,-0.3888888888888889
181,-71,-0.39226519337016574
182,-72,-0.3956043956043956
183,-73,-0.3989071038251366
184,-74,-0.40217391304347827
185,-73,-0.3945945945945946
186,-74,-0.3978494623655914
187,-75,-0.40106951871657753
188,-74,-0.39361702127659576
189,-73,-0.3862433862433862
190,-72,-0.37894736842105264
191,-73,-0.38219895287958117
192,-72,-0.375
193,-71,-0.36787564766839376
194,-70,-0.36082474226804123
195,-69,-0.35384615384615387
196,-68,-0.3469387755102041
197,-67,-0.3401015228426396
198,-68,-0.3434343434343434
199,-69,-0.34673366834170855
200,-68,-0.34
201,-68,-0.3383084577114428
202,-67,-0.3316831683168317
203,-66,-0.3251231527093596
204,-65,-0.31862745098039214
205,-64,-0.3121951219512195
206,-63,-0.3058252427184466
207,-62,-0.2995169082125604
208,-61,-0.2932692307692308
209,-62,-0.2966507177033493
210,-63,-0.3
211,-62,-0.2938388625592417
212,-63,-0.2971698113207547
213,-64,-0.3004694835680751
214,-65,-0.3037383177570093
215,-64,-0.29767441860465116
216,-65,-0.30092592592592593
217,-64,-0.29493087557603687
218,-63,-0.2889908256880734
219,-64,-0.2922374429223744
220,-63,-0.2863636363636364
221,-62,-0.28054298642533937
222,-63,-0.28378378378378377
223,-64,-0.28699551569506726
224,-65,-0.29017857142857145
225,-64,-0.28444444444444444
226,-63,-0.27876106194690264
227,-62,-0.27312775330396477
228,-63,-0.27631578947368424
229,-62,-0.27074235807860264
230,-61,-0.26521739130434785
231,-60,-0.2597402597402597
232,-61,-0.2629310344827586
233,-60,-0.2575107296137339
234,-61,-0.2606837606837607
235,-62,-0.26382978723404255
236,-61,-0.2584745762711864
237,-62,-0.2616033755274262
238,-63,-0.2647058823529412
239,-64,-0.26778242677824265
240,-65,-0.2708333333333333
241,-66,-0.27385892116182575
242,-65,-0.26859504132231404
243,-64,-0.26337448559670784
244,-63,-0.2581967213114754
245,-64,-0.2612244897959184
246,-63,-0.25609756097560976
247,-62,-0.25101214574898784
248,-63,-0.2540322580645161
249,-63,-0.25301204819277107
250,-64,-0.256
251,-63,-0.250996015936255
252,-62,-0.24603174603174602
253,-63,-0.2490118577075099
254,-64,-0.25196850393700787
255,-65,-0.2549019607843137
256,-66,-0.2578125
257,-65,-0.2529182879377432
258,-66,-0.2558139534883721
259,-65,-0.25096525096525096
260,-66,-0.25384615384615383
261,-65,-0.24904214559386972
262,-66,-0.25190839694656486
263,-67,-0.25475285171102663
264,-68,-0.25757575757575757
265,-67,-0.2528301886792453
266,-66,-0.24812030075187969
267,-67,-0.250936329588015
268,-68,-0.2537313432835821
269,-67,-0.24907063197026022
270,-66,-0.24444444444444444
271,-65,-0.23985239852398524
272,-66,-0.2426470588235294
273,-67,-0.2454212454212454
274,-68,-0.24817518248175183
275,-67,-0.24363636363636362
276,-66,-0.2391304347826087
