i,winDiff,avg
0,0,0
1,1,1.0
2,2,1.0
3,1,0.3333333333333333
4,0,0.0
5,-1,-0.2
6,-2,-0.3333333333333333
7,-1,-0.14285714285714285
8,0,0.0
9,-1,-0.1111111111111111
10,-2,-0.2
11,-3,-0.2727272727272727
12,-4,-0.3333333333333333
13,-5,-0.38461538461538464
14,-6,-0.42857142857142855
15,-7,-0.4666666666666667
16,-8,-0.5
17,-7,-0.4117647058823529
18,-6,-0.3333333333333333
19,-7,-0.3684210526315789
20,-8,-0.4
21,-9,-0.42857142857142855
22,-8,-0.36363636363636365
23,-7,-0.30434782608695654
24,-8,-0.3333333333333333
25,-9,-0.36
26,-10,-0.38461538461538464
27,-9,-0.3333333333333333
28,-10,-0.35714285714285715
29,-11,-0.3793103448275862
30,-12,-0.4
31,-13,-0.41935483870967744
32,-12,-0.375
33,-13,-0.3939393939393939
34,-13,-0.38235294117647056
35,-12,-0.34285714285714286
36,-13,-0.3611111111111111
37,-13,-0.35135135135135137
38,-14,-0.3684210526315789
39,-14,-0.358974358974359
40,-13,-0.325
41,-12,-0.2926829268292683
42,-13,-0.30952380952380953
43,-14,-0.32558139534883723
44,-15,-0.3409090909090909
45,-16,-0.35555555555555557
46,-17,-0.3695652173913043
47,-18,-0.3829787234042553
48,-19,-0.3958333333333333
49,-20,-0.40816326530612246
50,-21,-0.42
51,-22,-0.43137254901960786
52,-23,-0.4423076923076923
53,-24,-0.4528301886792453
54,-23,-0.42592592592592593
55,-24,-0.43636363636363634
56,-25,-0.44642857142857145
57,-26,-0.45614035087719296
58,-25,-0.43103448275862066
59,-26,-0.4406779661016949
60,-27,-0.45
61,-27,-0.4426229508196721
62,-26,-0.41935483870967744
63,-25,-0.3968253968253968
64,-26,-0.40625
65,-27,-0.4153846153846154
66,-26,-0.3939393939393939
67,-27,-0.40298507462686567
68,-28,-0.4117647058823529
69,-29,-0.42028985507246375
70,-30,-0.42857142857142855
71,-31,-0.43661971830985913
72,-30,-0.4166666666666667
73,-29,-0.3972602739726027
74,-30,-0.40540540540540543
75,-31,-0.41333333333333333
76,-30,-0.39473684210526316
77,-31,-0.4025974025974026
78,-32,-0.41025641025641024
79,-31,-0.3924050632911392
80,-30,-0.375
81,-29,-0.35802469135802467
82,-28,-0.34146341463414637
83,-29,-0.3493975903614458
84,-28,-0.3333333333333333
85,-29,-0.3411764705882353
86,-28,-0.32558139534883723
87,-29,-0.3333333333333333
88,-28,-0.3181818181818182
89,-29,-0.3258426966292135
90,-28,-0.3111111111111111
91,-29,-0.31868131868131866
92,-29,-0.31521739130434784
93,-30,-0.3225806451612903
94,-29,-0.30851063829787234
95,-30,-0.3157894736842105
96,-29,-0.3020833333333333
97,-30,-0.30927835051546393
98,-31,-0.3163265306122449
99,-32,-0.32323232323232326
100,-33,-0.33
101,-32,-0.31683168316831684
102,-32,-0.3137254901960784
103,-33,-0.32038834951456313
104,-32,-0.3076923076923077
105,-31,-0.29523809523809524
106,-32,-0.3018867924528302
107,-33,-0.308411214953271
108,-34,-0.3148148148148148
109,-35,-0.3211009174311927
110,-36,-0.32727272727272727
111,-37,-0.3333333333333333
112,-38,-0.3392857142857143
113,-37,-0.3274336283185841
114,-38,-0.3333333333333333
115,-39,-0.3391304347826087
116,-40,-0.3448275862068966
117,-41,-0.3504273504273504
118,-42,-0.3559322033898305
119,-43,-0.36134453781512604
120,-43,-0.35833333333333334
121,-42,-0.34710743801652894
122,-41,-0.3360655737704918
123,-40,-0.3252032520325203
124,-41,-0.33064516129032256
125,-42,-0.336
126,-41,-0.3253968253968254
127,-41,-0.3228346456692913
128,-42,-0.328125
129,-41,-0.3178294573643411
130,-42,-0.3230769230769231
131,-41,-0.31297709923664124
132,-42,-0.3181818181818182
133,-41,-0.3082706766917293
134,-40,-0.29850746268656714
135,-41,-0.3037037037037037
136,-42,-0.3088235294117647
137,-41,-0.29927007299270075
138,-40,-0.2898550724637681
139,-39,-0.2805755395683453
140,-40,-0.2857142857142857
141,-39,-0.2765957446808511
142,-38,-0.2676056338028169
143,-37,-0.25874125874125875
144,-36,-0.25
145,-35,-0.2413793103448276
146,-36,-0.2465753424657534
147,-37,-0.25170068027210885
148,-38,-0.25675675675675674
149,-37,-0.2483221476510067
150,-37,-0.24666666666666667
151,-36,-0.23841059602649006
152,-37,-0.24342105263157895
153,-38,-0.24836601307189543
154,-37,-0.24025974025974026
155,-38,-0.24516129032258063
156,-39,-0.25
157,-38,-0.24203821656050956
158,-37,-0.23417721518987342
159,-38,-0.2389937106918239
160,-39,-0.24375
161,-38,-0.2360248447204969
162,-39,-0.24074074074074073
163,-38,-0.2331288343558282
164,-39,-0.23780487804878048
165,-40,-0.24242424242424243
166,-41,-0.2469879518072289
167,-42,-0.25149700598802394
168,-43,-0.25595238095238093
169,-42,-0.2485207100591716
170,-43,-0.2529411764705882
171,-44,-0.2573099415204678
172,-43,-0.25
173,-42,-0.24277456647398843
174,-43,-0.2471264367816092
175,-44,-0.25142857142857145
176,-43,-0.24431818181818182
177,-44,-0.24858757062146894
178,-45,-0.25280898876404495
179,-44,-0.24581005586592178
180,-43,-0.2388888888888889
181,-44,-0.2430939226519337
182,-45,-0.24725274725274726
183,-46,-0.25136612021857924
184,-47,-0.2554347826086957
185,-48,-0.2594594594594595
186,-47,-0.25268817204301075
187,-48,-0.25668449197860965
188,-49,-0.26063829787234044
189,-50,-0.26455026455026454
190,-51,-0.26842105263157895
191,-52,-0.27225130890052357
192,-51,-0.265625
193,-51,-0.26424870466321243
194,-52,-0.26804123711340205
195,-53,-0.2717948717948718
196,-52,-0.2653061224489796
197,-51,-0.25888324873096447
198,-52,-0.26262626262626265
199,-53,-0.2663316582914573
200,-52,-0.26
201,-52,-0.25870646766169153
202,-51,-0.2524752475247525
203,-50,-0.24630541871921183
204,-51,-0.25
205,-50,-0.24390243902439024
206,-51,-0.24757281553398058
207,-52,-0.25120772946859904
208,-52,-0.25
209,-53,-0.2535885167464115
210,-54,-0.2571428571428571
211,-55,-0.26066350710900477
212,-54,-0.25471698113207547
213,-55,-0.25821596244131456
214,-56,-0.2616822429906542
215,-57,-0.2651162790697674
216,-58,-0.26851851851851855
217,-57,-0.2626728110599078
218,-56,-0.25688073394495414
219,-55,-0.2511415525114155
220,-54,-0.24545454545454545
221,-55,-0.248868778280543
222,-54,-0.24324324324324326
223,-53,-0.23766816143497757
224,-52,-0.23214285714285715
225,-51,-0.22666666666666666
226,-52,-0.23008849557522124
227,-53,-0.23348017621145375
228,-54,-0.23684210526315788
229,-55,-0.24017467248908297
230,-56,-0.24347826086956523
231,-57,-0.24675324675324675
232,-58,-0.25
233,-57,-0.2446351931330472
234,-56,-0.23931623931623933
235,-57,-0.2425531914893617
236,-58,-0.2457627118644068
237,-59,-0.2489451476793249
238,-58,-0.24369747899159663
239,-59,-0.24686192468619247
240,-58,-0.24166666666666667
241,-59,-0.24481327800829875
242,-60,-0.24793388429752067
243,-61,-0.25102880658436216
244,-62,-0.2540983606557377
245,-63,-0.2571428571428571
246,-64,-0.2601626016260163
247,-65,-0.2631578947368421
248,-64,-0.25806451612903225
249,-65,-0.26104417670682734
250,-66,-0.264
251,-67,-0.26693227091633465
252,-66,-0.2619047619047619
253,-66,-0.2608695652173913
254,-65,-0.2559055118110236
255,-64,-0.25098039215686274
256,-65,-0.25390625
257,-64,-0.2490272373540856
258,-65,-0.25193798449612403
259,-64,-0.2471042471042471
260,-65,-0.25
261,-64,-0.24521072796934865
262,-65,-0.2480916030534351
263,-66,-0.2509505703422053
264,-67,-0.2537878787878788
265,-66,-0.2490566037735849
266,-67,-0.2518796992481203
267,-68,-0.2546816479400749
268,-69,-0.2574626865671642
269,-68,-0.2527881040892193
270,-69,-0.25555555555555554
271,-70,-0.25830258302583026
272,-69,-0.2536764705882353
273,-70,-0.2564102564102564
274,-69,-0.2518248175182482
275,-70,-0.2545454545454545
276,-71,-0.2572463768115942
277,-72,-0.259927797833935
278,-73,-0.26258992805755393
