i,winDiff,avg
0,-1,-1.0
1,-2,-1.0
2,-3,-1.0
3,-2,-0.5
4,-3,-0.6
5,-2,-0.3333333333333333
6,-2,-0.2857142857142857
7,-3,-0.375
8,-4,-0.4444444444444444
9,-3,-0.3
10,-4,-0.36363636363636365
11,-5,-0.4166666666666667
12,-4,-0.3076923076923077
13,-5,-0.35714285714285715
14,-6,-0.4
15,-5,-0.3125
16,-6,-0.35294117647058826
17,-5,-0.2777777777777778
18,-6,-0.3157894736842105
19,-5,-0.25
20,-6,-0.2857142857142857
21,-5,-0.22727272727272727
22,-6,-0.2608695652173913
23,-5,-0.20833333333333334
24,-6,-0.24
25,-7,-0.2692307692307692
26,-6,-0.2222222222222222
27,-5,-0.17857142857142858
28,-6,-0.20689655172413793
29,-5,-0.16666666666666666
30,-4,-0.12903225806451613
31,-5,-0.15625
32,-6,-0.18181818181818182
33,-5,-0.14705882352941177
34,-4,-0.11428571428571428
35,-5,-0.1388888888888889
36,-6,-0.16216216216216217
37,-5,-0.13157894736842105
38,-4,-0.10256410256410256
39,-5,-0.125
40,-6,-0.14634146341463414
41,-5,-0.11904761904761904
42,-4,-0.09302325581395349
43,-3,-0.06818181818181818
44,-4,-0.08888888888888889
45,-5,-0.10869565217391304
46,-6,-0.1276595744680851
47,-7,-0.14583333333333334
48,-7,-0.14285714285714285
49,-8,-0.16
50,-7,-0.13725490196078433
51,-6,-0.11538461538461539
52,-7,-0.1320754716981132
53,-8,-0.14814814814814814
54,-9,-0.16363636363636364
55,-10,-0.17857142857142858
56,-9,-0.15789473684210525
57,-10,-0.1724137931034483
58,-11,-0.1864406779661017
59,-12,-0.2
60,-11,-0.18032786885245902
61,-10,-0.16129032258064516
62,-11,-0.1746031746031746
63,-10,-0.15625
64,-11,-0.16923076923076924
65,-11,-0.16666666666666666
66,-12,-0.1791044776119403
67,-11,-0.16176470588235295
68,-10,-0.14492753623188406
69,-11,-0.15714285714285714
70,-11,-0.15492957746478872
71,-12,-0.16666666666666666
72,-13,-0.1780821917808219
73,-14,-0.1891891891891892
74,-13,-0.17333333333333334
75,-12,-0.15789473684210525
76,-13,-0.16883116883116883
77,-12,-0.15384615384615385
78,-11,-0.13924050632911392
79,-12,-0.15
80,-13,-0.16049382716049382
81,-12,-0.14634146341463414
82,-13,-0.1566265060240964
83,-12,-0.14285714285714285
84,-13,-0.15294117647058825
85,-14,-0.16279069767441862
86,-14,-0.16091954022988506
87,-14,-0.1590909090909091
88,-15,-0.16853932584269662
89,-16,-0.17777777777777778
90,-16,-0.17582417582417584
91,-15,-0.16304347826086957
92,-16,-0.17204301075268819
93,-15,-0.1595744680851064
94,-14,-0.14736842105263157
95,-15,-0.15625
96,-16,-0.16494845360824742
97,-15,-0.15306122448979592
98,-14,-0.1414141414141414
99,-15,-0.15
100,-16,-0.15841584158415842
101,-15,-0.14705882352941177
