i,winDiff,avg
0,-1,-1.0
1,0,0.0
2,-1,-0.3333333333333333
3,-2,-0.5
4,-3,-0.6
5,-4,-0.6666666666666666
6,-3,-0.42857142857142855
7,-4,-0.5
8,-5,-0.5555555555555556
9,-4,-0.4
10,-3,-0.2727272727272727
11,-4,-0.3333333333333333
12,-5,-0.38461538461538464
13,-4,-0.2857142857142857
14,-3,-0.2
15,-2,-0.125
16,-1,-0.058823529411764705
17,-2,-0.1111111111111111
18,-1,-0.05263157894736842
19,0,0.0
20,-1,-0.047619047619047616
21,0,0.0
22,-1,-0.043478260869565216
23,-2,-0.08333333333333333
24,-1,-0.04
25,0,0.0
26,-1,-0.037037037037037035
27,-2,-0.07142857142857142
28,-3,-0.10344827586206896
29,-4,-0.13333333333333333
30,-3,-0.0967741935483871
31,-2,-0.0625
32,-3,-0.09090909090909091
33,-4,-0.11764705882352941
34,-4,-0.11428571428571428
35,-5,-0.1388888888888889
36,-4,-0.10810810810810811
37,-5,-0.13157894736842105
38,-4,-0.10256410256410256
39,-5,-0.125
40,-6,-0.14634146341463414
41,-7,-0.16666666666666666
42,-8,-0.18604651162790697
43,-7,-0.1590909090909091
44,-6,-0.13333333333333333
45,-5,-0.10869565217391304
46,-6,-0.1276595744680851
47,-7,-0.14583333333333334
48,-8,-0.16326530612244897
49,-7,-0.14
50,-8,-0.1568627450980392
51,-9,-0.17307692307692307
52,-8,-0.1509433962264151
53,-9,-0.16666666666666666
54,-10,-0.18181818181818182
55,-11,-0.19642857142857142
56,-10,-0.17543859649122806
57,-11,-0.1896551724137931
58,-11,-0.1864406779661017
59,-10,-0.16666666666666666
60,-11,-0.18032786885245902
61,-12,-0.1935483870967742
62,-13,-0.20634920634920634
63,-12,-0.1875
64,-13,-0.2
65,-12,-0.18181818181818182
66,-13,-0.19402985074626866
67,-12,-0.17647058823529413
68,-13,-0.18840579710144928
69,-12,-0.17142857142857143
70,-13,-0.18309859154929578
71,-14,-0.19444444444444445
72,-15,-0.2054794520547945
73,-16,-0.21621621621621623
74,-17,-0.22666666666666666
75,-16,-0.21052631578947367
76,-16,-0.2077922077922078
77,-15,-0.19230769230769232
78,-16,-0.20253164556962025
79,-17,-0.2125
80,-18,-0.2222222222222222
81,-18,-0.21951219512195122
82,-19,-0.2289156626506024
83,-19,-0.2261904761904762
84,-20,-0.23529411764705882
85,-19,-0.22093023255813954
86,-18,-0.20689655172413793
87,-17,-0.19318181818181818
88,-16,-0.1797752808988764
89,-17,-0.18888888888888888
90,-16,-0.17582417582417584
91,-15,-0.16304347826086957
92,-15,-0.16129032258064516
93,-16,-0.1702127659574468
94,-17,-0.17894736842105263
95,-16,-0.16666666666666666
96,-17,-0.17525773195876287
97,-18,-0.1836734693877551
98,-17,-0.1717171717171717
99,-16,-0.16
100,-17,-0.16831683168316833
101,-18,-0.17647058823529413
102,-19,-0.18446601941747573
103,-20,-0.19230769230769232
104,-19,-0.18095238095238095
105,-20,-0.18867924528301888
106,-21,-0.19626168224299065
107,-22,-0.2037037037037037
108,-21,-0.1926605504587156
109,-20,-0.18181818181818182
110,-21,-0.1891891891891892
111,-20,-0.17857142857142858
112,-19,-0.168141592920354
113,-18,-0.15789473684210525
114,-17,-0.14782608695652175
115,-18,-0.15517241379310345
116,-19,-0.1623931623931624
117,-18,-0.15254237288135594
118,-19,-0.15966386554621848
119,-20,-0.16666666666666666
120,-21,-0.17355371900826447
121,-22,-0.18032786885245902
122,-23,-0.18699186991869918
123,-24,-0.1935483870967742
124,-25,-0.2
125,-26,-0.20634920634920634
126,-27,-0.2125984251968504
127,-28,-0.21875
128,-27,-0.20930232558139536
129,-26,-0.2
130,-27,-0.20610687022900764
131,-28,-0.21212121212121213
132,-27,-0.20300751879699247
133,-28,-0.208955223880597
134,-29,-0.21481481481481482
135,-30,-0.22058823529411764
136,-31,-0.22627737226277372
137,-32,-0.2318840579710145
138,-33,-0.23741007194244604
139,-34,-0.24285714285714285
140,-34,-0.24113475177304963
141,-35,-0.24647887323943662
142,-36,-0.2517482517482518
143,-37,-0.2569444444444444
144,-36,-0.2482758620689655
145,-37,-0.2534246575342466
146,-36,-0.24489795918367346
147,-35,-0.23648648648648649
148,-36,-0.24161073825503357
149,-37,-0.24666666666666667
150,-36,-0.23841059602649006
151,-37,-0.24342105263157895
152,-38,-0.24836601307189543
153,-37,-0.24025974025974026
154,-36,-0.23225806451612904
155,-37,-0.23717948717948717
156,-36,-0.22929936305732485
157,-37,-0.23417721518987342
158,-38,-0.2389937106918239
159,-39,-0.24375
160,-40,-0.2484472049689441
161,-41,-0.25308641975308643
162,-42,-0.25766871165644173
163,-41,-0.25
164,-42,-0.2545454545454545
165,-43,-0.25903614457831325
166,-44,-0.2634730538922156
167,-45,-0.26785714285714285
168,-44,-0.2603550295857988
169,-45,-0.2647058823529412
170,-44,-0.2573099415204678
171,-43,-0.25
172,-44,-0.2543352601156069
173,-45,-0.25862068965517243
174,-44,-0.25142857142857145
175,-45,-0.2556818181818182
176,-46,-0.2598870056497175
177,-45,-0.25280898876404495
178,-46,-0.2569832402234637
179,-45,-0.25
180,-44,-0.2430939226519337
181,-45,-0.24725274725274726
182,-46,-0.25136612021857924
183,-45,-0.24456521739130435
184,-46,-0.24864864864864866
185,-47,-0.25268817204301075
186,-48,-0.25668449197860965
187,-49,-0.26063829787234044
188,-50,-0.26455026455026454
189,-51,-0.26842105263157895
190,-52,-0.27225130890052357
191,-51,-0.265625
192,-52,-0.2694300518134715
193,-51,-0.26288659793814434
194,-52,-0.26666666666666666
195,-53,-0.27040816326530615
196,-52,-0.2639593908629442
197,-53,-0.2676767676767677
198,-54,-0.271356783919598
199,-53,-0.265
200,-52,-0.25870646766169153
201,-51,-0.2524752475247525
202,-52,-0.2561576354679803
203,-53,-0.25980392156862747
204,-52,-0.25365853658536586
205,-53,-0.25728155339805825
206,-52,-0.25120772946859904
207,-53,-0.2548076923076923
208,-54,-0.2583732057416268
209,-55,-0.2619047619047619
210,-56,-0.26540284360189575
211,-56,-0.2641509433962264
212,-57,-0.2676056338028169
213,-56,-0.2616822429906542
214,-55,-0.2558139534883721
215,-56,-0.25925925925925924
216,-55,-0.2534562211981567
217,-56,-0.25688073394495414
218,-55,-0.2511415525114155
219,-56,-0.2545454545454545
220,-57,-0.2579185520361991
221,-56,-0.25225225225225223
222,-57,-0.2556053811659193
223,-56,-0.25
